guid,id,map,x,y,z,o,zone_id,area_id
1,2843,0,-14467.800,468.374,15.106,0.140,33,35
2,7853,0,-14464.900,459.585,15.249,3.735,33,35
3,2499,0,-14355.900,433.399,7.553,1.798,33,35
4,2838,0,-14430.200,410.963,15.361,3.037,33,35
5,2839,0,-14340.600,414.604,6.713,2.199,33,35
6,2626,0,-14451.300,471.164,4.285,5.725,33,35
7,2482,0,-14379.100,412.672,6.820,5.707,33,35
8,8123,0,-14421.900,528.898,5.249,5.149,33,35
9,9459,0,-7647.310,-3051.950,131.250,1.710,46,2419
10,9520,0,-7699.620,-1444.290,139.871,4.259,46,252
11,1215,0,-9056.000,152.629,115.116,3.159,12,12
12,1218,0,-9060.000,148.566,115.222,1.606,12,12
19,1061,0,-11514.400,724.968,61.104,3.037,33,102
26,6569,0,-4835.970,-1260.580,501.951,4.555,1537,1537
27,5123,0,-4913.430,-1284.470,505.377,4.206,1537,1537
28,5178,0,-4856.880,-1237.260,501.807,0.524,1537,1537
29,5177,0,-4863.040,-1240.300,501.807,3.752,1537,1537
30,794,0,-9387.450,-117.388,58.865,2.618,12,18
31,1246,0,-4863.040,-1238.050,501.807,2.199,1537,1537
32,11028,0,-4802.490,-1248.500,502.086,4.416,1537,1537
33,6169,0,-4812.480,-1250.620,502.014,4.625,1537,1537
34,7937,0,-4827.630,-1257.160,506.119,4.573,1537,1537
35,7950,0,-4823.040,-1265.700,501.951,4.608,1537,1537
36,7944,0,-4834.770,-1263.450,501.951,4.730,1537,1537
37,14724,0,-4823.650,-1299.360,501.951,0.960,1537,1537
155035,15766,0,-8859.140,638.287,96.347,1.815,1519,1519
39,5122,0,-4921.130,-1280.970,512.044,5.829,1537,1537
40,4081,0,-4842.960,-1283.510,501.951,1.553,1537,1537
41,5174,0,-4798.970,-1254.840,502.086,5.219,1537,1537
42,5175,0,-4793.470,-1249.970,502.086,3.124,1537,1537
43,11029,0,-4795.640,-1247.080,502.086,3.700,1537,1537
44,5595,0,-4912.550,-1240.400,501.660,2.670,1537,1537
45,5595,0,-4917.700,-1250.290,501.660,2.688,1537,1537
46,5595,0,-4748.270,-1264.660,501.659,0.279,1537,1537
47,5595,0,-4745.030,-1275.250,501.659,0.367,1537,1537
48,5158,0,-4801.370,-1196.130,505.898,0.209,1537,1537
49,5157,0,-4809.030,-1186.130,512.564,3.264,1537,1537
50,11065,0,-4808.600,-1190.140,505.898,2.897,1537,1537
51,5124,0,-5002.890,-1160.730,501.743,3.433,1537,1537
52,15187,0,-4818.880,-1176.410,502.278,2.496,1537,1537
53,5570,0,-4975.230,-1286.970,502.053,0.960,1537,1537
54,5140,0,-4969.120,-1284.820,510.386,0.995,1537,1537
55,5605,0,-4974.750,-1283.120,502.053,4.171,1537,1537
56,2695,0,-4924.320,-1215.650,502.594,3.875,1537,1537
57,5595,0,-4992.170,-1155.410,501.743,3.961,1537,1537
58,5595,0,-4995.100,-1224.350,501.769,0.716,1537,1537
59,10090,0,-5022.090,-1273.850,507.839,5.480,1537,1537
60,7976,0,-5041.100,-1200.230,502.318,0.628,1537,1537
61,5121,0,-5037.280,-1208.090,508.986,2.147,1537,1537
62,5119,0,-5034.400,-1205.310,502.318,2.025,1537,1537
63,7298,0,-5015.660,-1279.060,507.836,5.341,1537,1537
64,2832,0,-14451.700,495.417,15.190,3.700,33,35
65,2622,0,-14437.300,408.212,15.113,1.920,33,35
66,7390,0,-14332.500,425.102,6.635,2.307,33,35
67,2844,0,-14361.900,372.226,24.448,5.847,33,35
68,2663,0,-14334.800,425.681,6.710,4.416,33,35
69,2542,0,-14467.000,479.833,20.468,0.279,33,35
70,2544,0,-14811.800,449.855,1.318,0.973,33,43
71,2544,0,-14645.500,258.305,0.891,0.008,33,43
72,2544,0,-14812.700,312.065,1.105,0.065,33,43
73,2544,0,-14679.800,163.598,-0.325,1.487,33,43
74,2544,0,-14908.700,-29.849,0.276,5.283,33,43
75,2544,0,-14422.400,63.952,1.380,4.182,33,43
76,4624,0,-14439.000,436.395,20.509,3.072,33,35
77,4624,0,-14278.300,553.193,8.900,3.910,33,35
78,857,0,-5038.540,-1266.410,510.408,3.822,1537,1537
79,14982,0,-5038.580,-1272.530,510.408,2.601,1537,1537
82,5117,0,-5006.600,-1266.040,507.837,3.787,1537,1537
83,1901,0,-5044.870,-1243.060,507.837,5.463,1537,1537
84,5114,0,-5035.670,-1234.640,507.835,5.358,1537,1537
85,9984,0,-5010.220,-1261.460,507.839,3.770,1537,1537
86,5120,0,-5037.140,-1206.700,502.318,2.129,1537,1537
87,5116,0,-5010.390,-1274.050,507.835,2.269,1537,1537
88,5595,0,-4988.810,-1232.080,501.769,0.785,1537,1537
89,13084,0,-5042.060,-1205.560,508.901,0.977,1537,1537
